City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
157,Araouane,ML,2020-02-23 18:34:44,18.9,-3.53,89.73,7,41,11.97,scattered clouds,0.0,0.0
158,Lagunas,PE,2020-02-23 18:34:44,-5.23,-75.68,84.22,69,100,4.34,light rain,0.0,0.0
159,Thompson,CA,2020-02-23 18:31:14,55.74,-97.86,14.0,66,90,5.82,overcast clouds,0.0,0.0
160,Dikson,RU,2020-02-23 18:34:49,73.51,80.55,30.27,95,100,27.36,snow,0.0,1.75
161,New Norfolk,AU,2020-02-23 18:32:13,-42.78,147.06,57.2,76,97,4.7,overcast clouds,0.0,0.0
162,Cabo San Lucas,MX,2020-02-23 18:34:49,22.89,-109.91,84.99,44,75,10.29,broken clouds,0.0,0.0
163,Mattawa,US,2020-02-23 18:34:50,46.74,-119.9,57.2,54,90,20.8,light rain,0.89,0.0
164,Port Blair,IN,2020-02-23 18:32:41,11.67,92.75,81.14,75,41,12.1,scattered clouds,0.0,0.0
165,Miraflores,MX,2020-02-23 18:34:50,19.22,-98.81,82.4,33,5,4.7,clear sky,0.0,0.0
166,Adrar,MR,2020-02-23 18:34:51,20.5,-10.07,92.03,8,97,9.62,overcast clouds,0.0,0.0
167,Ancud,CL,2020-02-23 18:34:51,-41.87,-73.82,59.0,72,75,9.17,broken clouds,0.0,0.0
168,Maumere,ID,2020-02-23 18:34:51,-8.62,122.21,77.61,89,78,10.11,broken clouds,0.0,0.0
169,Mackenzie,CA,2020-02-23 18:34:51,55.3,-123.17,15.8,92,20,5.82,few clouds,0.0,0.0
170,Olafsvik,IS,2020-02-23 18:34:52,64.89,-23.71,31.48,74,100,8.81,overcast clouds,0.0,0.0
171,Kodinar,IN,2020-02-23 18:34:52,20.79,70.7,72.99,29,0,8.59,clear sky,0.0,0.0
172,Kununurra,AU,2020-02-23 18:33:38,-15.77,128.73,78.8,83,21,4.7,few clouds,0.0,0.0
173,Fortuna,US,2020-02-23 18:34:52,40.6,-124.16,53.01,76,75,3.24,broken clouds,0.0,0.0
174,Leningradskiy,RU,2020-02-23 18:34:53,69.38,178.42,-12.39,75,100,6.31,overcast clouds,0.0,0.0
